timestamp,index,memory_used_MiB,memory_total_MiB,memory_free_MiB,gpu_util_pct,temperature_c
2026-07-03 16:02:35,0,0,23552,23552,0,43
2026-07-03 16:02:40,0,17592186043898,23552,24070,0,43
2026-07-03 16:02:45,0,17592186043898,23552,24070,0,43
2026-07-03 16:02:50,0,17592186043898,23552,24070,0,43
2026-07-03 16:02:55,0,17592186043898,23552,24070,0,43
2026-07-03 16:03:01,0,17592186043898,23552,24070,0,43
2026-07-03 16:03:06,0,551,23552,23002,2,43
2026-07-03 16:03:11,0,551,23552,23002,19,43
2026-07-03 16:03:16,0,573,23552,22980,19,43
2026-07-03 16:03:21,0,573,23552,22980,7,42
2026-07-03 16:03:26,0,573,23552,22980,19,42
2026-07-03 16:03:31,0,573,23552,22980,15,42
2026-07-03 16:03:36,0,573,23552,22980,18,42
2026-07-03 16:03:41,0,573,23552,22980,19,42
2026-07-03 16:03:46,0,573,23552,22980,13,42
2026-07-03 16:03:51,0,573,23552,22980,19,42
2026-07-03 16:03:56,0,573,23552,22980,19,42
2026-07-03 16:04:01,0,573,23552,22980,15,42
2026-07-03 16:04:06,0,573,23552,22980,9,42
2026-07-03 16:04:11,0,573,23552,22980,18,42
2026-07-03 16:04:16,0,573,23552,22980,19,42
2026-07-03 16:04:21,0,573,23552,22980,14,42
2026-07-03 16:04:26,0,573,23552,22980,18,42
2026-07-03 16:04:32,0,573,23552,22980,19,42
2026-07-03 16:04:37,0,573,23552,22980,13,42
2026-07-03 16:04:42,0,573,23552,22980,19,42
2026-07-03 16:04:47,0,573,23552,22980,19,42
2026-07-03 16:04:52,0,573,23552,22980,11,42
2026-07-03 16:04:57,0,573,23552,22980,20,42
2026-07-03 16:05:02,0,573,23552,22980,19,42
2026-07-03 16:05:07,0,573,23552,22980,13,42
2026-07-03 16:05:12,0,573,23552,22980,15,42
2026-07-03 16:05:17,0,573,23552,22980,18,42
2026-07-03 16:05:22,0,573,23552,22980,19,42
2026-07-03 16:05:27,0,573,23552,22980,15,42
2026-07-03 16:05:32,0,573,23552,22980,19,42
2026-07-03 16:05:37,0,573,23552,22980,16,42
2026-07-03 16:05:42,0,573,23552,22980,9,42
2026-07-03 16:05:47,0,573,23552,22980,19,42
2026-07-03 16:05:52,0,573,23552,22980,17,42
2026-07-03 16:05:57,0,573,23552,22980,9,42
2026-07-03 16:06:03,0,573,23552,22980,18,42
2026-07-03 16:06:08,0,573,23552,22980,17,42
2026-07-03 16:06:13,0,575,23552,22978,11,41
2026-07-03 16:06:18,0,577,23552,22976,12,41
2026-07-03 16:06:23,0,577,23552,22976,12,41
2026-07-03 16:06:28,0,577,23552,22976,19,41
2026-07-03 16:06:33,0,577,23552,22976,18,41
2026-07-03 16:06:38,0,577,23552,22976,15,41
2026-07-03 16:06:43,0,577,23552,22976,18,41
2026-07-03 16:06:48,0,577,23552,22976,20,41
2026-07-03 16:06:53,0,577,23552,22976,20,41
2026-07-03 16:06:58,0,577,23552,22976,20,41
2026-07-03 16:07:03,0,577,23552,22976,14,41
2026-07-03 16:07:08,0,577,23552,22976,18,41
2026-07-03 16:07:13,0,577,23552,22976,13,41
2026-07-03 16:07:19,0,577,23552,22976,19,41
2026-07-03 16:07:24,0,577,23552,22976,17,41
2026-07-03 16:07:29,0,577,23552,22976,11,41
2026-07-03 16:07:34,0,577,23552,22976,19,41
2026-07-03 16:07:39,0,577,23552,22976,19,41
2026-07-03 16:07:44,0,577,23552,22976,17,41
2026-07-03 16:07:49,0,577,23552,22976,14,41
2026-07-03 16:07:54,0,577,23552,22976,19,41
2026-07-03 16:07:59,0,577,23552,22976,17,41
2026-07-03 16:08:04,0,577,23552,22976,15,41
2026-07-03 16:08:09,0,577,23552,22976,13,41
2026-07-03 16:08:14,0,577,23552,22976,19,41
2026-07-03 16:08:19,0,577,23552,22976,18,41
2026-07-03 16:08:24,0,577,23552,22976,13,41
