timestamp,index,memory_used_MiB,memory_total_MiB,memory_free_MiB,gpu_util_pct,temperature_c
2026-07-02 08:00:34,0,0,23552,23552,0,42
2026-07-02 08:00:39,0,17592186043898,23552,24070,0,43
2026-07-02 08:00:44,0,17592186043898,23552,24070,0,41
2026-07-02 08:00:49,0,17592186043898,23552,24070,0,41
2026-07-02 08:00:55,0,17592186043898,23552,24070,0,41
2026-07-02 08:01:00,0,1358,23552,22194,0,41
2026-07-02 08:01:05,0,957,23552,22596,13,41
2026-07-02 08:01:10,0,957,23552,22596,16,41
2026-07-02 08:01:15,0,957,23552,22596,16,42
2026-07-02 08:01:20,0,957,23552,22596,16,41
2026-07-02 08:01:25,0,957,23552,22596,14,41
2026-07-02 08:01:30,0,957,23552,22596,13,42
2026-07-02 08:01:35,0,957,23552,22596,13,41
2026-07-02 08:01:40,0,957,23552,22596,14,41
2026-07-02 08:01:45,0,957,23552,22596,14,41
2026-07-02 08:01:50,0,957,23552,22596,19,41
2026-07-02 08:01:55,0,1255,23552,22298,18,41
2026-07-02 08:02:00,0,1255,23552,22298,20,41
2026-07-02 08:02:05,0,1255,23552,22298,19,41
2026-07-02 08:02:10,0,1255,23552,22298,18,41
2026-07-02 08:02:16,0,1255,23552,22298,19,41
2026-07-02 08:02:21,0,1255,23552,22298,21,41
2026-07-02 08:02:26,0,1255,23552,22298,22,41
2026-07-02 08:02:31,0,1255,23552,22298,22,41
2026-07-02 08:02:36,0,1255,23552,22298,19,41
2026-07-02 08:02:41,0,1255,23552,22298,20,41
2026-07-02 08:02:46,0,1255,23552,22298,21,41
2026-07-02 08:02:51,0,1255,23552,22298,10,41
2026-07-02 08:02:56,0,1255,23552,22298,11,41
2026-07-02 08:03:01,0,1255,23552,22298,12,41
2026-07-02 08:03:06,0,1255,23552,22298,11,41
2026-07-02 08:03:11,0,1255,23552,22298,14,41
2026-07-02 08:03:16,0,1255,23552,22298,18,41
2026-07-02 08:03:21,0,1255,23552,22298,17,41
2026-07-02 08:03:26,0,1255,23552,22298,21,41
2026-07-02 08:03:32,0,1255,23552,22298,21,41
2026-07-02 08:03:37,0,1255,23552,22298,19,41
2026-07-02 08:03:42,0,1255,23552,22298,21,41
2026-07-02 08:03:47,0,1255,23552,22298,22,41
2026-07-02 08:03:52,0,1255,23552,22298,13,41
2026-07-02 08:03:57,0,1255,23552,22298,15,41
2026-07-02 08:04:02,0,1257,23552,22296,14,41
2026-07-02 08:04:07,0,1257,23552,22296,15,41
2026-07-02 08:04:12,0,1257,23552,22296,16,41
2026-07-02 08:04:17,0,1257,23552,22296,10,41
2026-07-02 08:04:22,0,1257,23552,22296,17,41
2026-07-02 08:04:27,0,1257,23552,22296,20,41
2026-07-02 08:04:32,0,1257,23552,22296,18,41
2026-07-02 08:04:37,0,1257,23552,22296,21,41
2026-07-02 08:04:42,0,1257,23552,22296,22,41
2026-07-02 08:04:47,0,1257,23552,22296,21,41
2026-07-02 08:04:53,0,1257,23552,22296,21,41
2026-07-02 08:04:58,0,1257,23552,22296,18,41
2026-07-02 08:05:03,0,1257,23552,22296,23,41
2026-07-02 08:05:08,0,1257,23552,22296,21,41
2026-07-02 08:05:13,0,1257,23552,22296,20,41
2026-07-02 08:05:18,0,1257,23552,22296,21,41
2026-07-02 08:05:23,0,1257,23552,22296,22,41
2026-07-02 08:05:28,0,1257,23552,22296,22,41
2026-07-02 08:05:33,0,1257,23552,22296,20,41
2026-07-02 08:05:38,0,1257,23552,22296,15,41
2026-07-02 08:05:43,0,1257,23552,22296,18,41
2026-07-02 08:05:48,0,1257,23552,22296,14,41
2026-07-02 08:05:53,0,1257,23552,22296,10,41
2026-07-02 08:05:58,0,1257,23552,22296,14,41
2026-07-02 08:06:03,0,1257,23552,22296,13,41
2026-07-02 08:06:09,0,1257,23552,22296,13,41
2026-07-02 08:06:14,0,1257,23552,22296,13,41
2026-07-02 08:06:19,0,1257,23552,22296,14,41
2026-07-02 08:06:24,0,1257,23552,22296,13,41
2026-07-02 08:06:29,0,1257,23552,22296,8,41
2026-07-02 08:06:34,0,1257,23552,22296,13,41
2026-07-02 08:06:39,0,1257,23552,22296,17,41
2026-07-02 08:06:44,0,1257,23552,22296,13,41
2026-07-02 08:06:49,0,1257,23552,22296,19,41
2026-07-02 08:06:54,0,1257,23552,22296,17,41
2026-07-02 08:06:59,0,1257,23552,22296,19,41
2026-07-02 08:07:04,0,1257,23552,22296,22,41
2026-07-02 08:07:09,0,1257,23552,22296,18,41
2026-07-02 08:07:14,0,1257,23552,22296,18,41
2026-07-02 08:07:19,0,1257,23552,22296,12,42
