timestamp,index,memory_used_MiB,memory_total_MiB,memory_free_MiB,gpu_util_pct,temperature_c
2026-07-05 18:24:55,0,0,23552,23552,0,42
2026-07-05 18:25:01,0,17592186043898,23552,24070,1,42
2026-07-05 18:25:06,0,17592186043898,23552,24070,0,41
2026-07-05 18:25:11,0,17592186043898,23552,24070,0,41
2026-07-05 18:25:16,0,17592186043898,23552,24070,0,40
2026-07-05 18:25:21,0,17592186043898,23552,24070,0,40
2026-07-05 18:25:26,0,519,23552,23034,19,41
2026-07-05 18:25:31,0,547,23552,23006,19,41
2026-07-05 18:25:36,0,547,23552,23006,19,41
2026-07-05 18:25:41,0,547,23552,23006,13,41
2026-07-05 18:25:46,0,547,23552,23006,15,41
2026-07-05 18:25:51,0,547,23552,23006,16,41
2026-07-05 18:25:56,0,547,23552,23006,17,41
2026-07-05 18:26:01,0,547,23552,23006,16,41
2026-07-05 18:26:06,0,547,23552,23006,15,42
2026-07-05 18:26:11,0,547,23552,23006,13,42
2026-07-05 18:26:16,0,547,23552,23006,15,42
2026-07-05 18:26:21,0,549,23552,23004,19,42
2026-07-05 18:26:26,0,549,23552,23004,18,42
2026-07-05 18:26:31,0,549,23552,23004,20,42
2026-07-05 18:26:37,0,549,23552,23004,18,42
2026-07-05 18:26:42,0,549,23552,23004,18,42
2026-07-05 18:26:47,0,549,23552,23004,12,42
2026-07-05 18:26:52,0,549,23552,23004,17,42
2026-07-05 18:26:57,0,549,23552,23004,19,42
2026-07-05 18:27:02,0,549,23552,23004,19,42
2026-07-05 18:27:07,0,549,23552,23004,19,42
2026-07-05 18:27:12,0,549,23552,23004,15,42
2026-07-05 18:27:17,0,549,23552,23004,17,42
2026-07-05 18:27:22,0,549,23552,23004,15,42
2026-07-05 18:27:27,0,549,23552,23004,14,42
2026-07-05 18:27:32,0,549,23552,23004,13,43
2026-07-05 18:27:37,0,549,23552,23004,18,43
2026-07-05 18:27:42,0,549,23552,23004,16,43
2026-07-05 18:27:47,0,549,23552,23004,18,43
2026-07-05 18:27:52,0,549,23552,23004,16,43
2026-07-05 18:27:57,0,549,23552,23004,17,43
2026-07-05 18:28:03,0,549,23552,23004,14,43
2026-07-05 18:28:08,0,549,23552,23004,15,43
2026-07-05 18:28:13,0,549,23552,23004,15,43
2026-07-05 18:28:18,0,549,23552,23004,14,43
2026-07-05 18:28:23,0,549,23552,23004,20,43
2026-07-05 18:28:28,0,549,23552,23004,20,43
2026-07-05 18:28:33,0,549,23552,23004,18,43
2026-07-05 18:28:38,0,549,23552,23004,16,43
2026-07-05 18:28:43,0,549,23552,23004,15,43
2026-07-05 18:28:48,0,549,23552,23004,14,43
2026-07-05 18:28:53,0,549,23552,23004,19,43
2026-07-05 18:28:58,0,549,23552,23004,18,43
2026-07-05 18:29:03,0,549,23552,23004,14,43
2026-07-05 18:29:08,0,549,23552,23004,15,43
2026-07-05 18:29:13,0,549,23552,23004,18,43
2026-07-05 18:29:19,0,549,23552,23004,16,43
2026-07-05 18:29:24,0,549,23552,23004,15,43
2026-07-05 18:29:29,0,549,23552,23004,13,43
2026-07-05 18:29:34,0,549,23552,23004,15,43
2026-07-05 18:29:39,0,549,23552,23004,15,43
2026-07-05 18:29:44,0,549,23552,23004,19,43
2026-07-05 18:29:49,0,549,23552,23004,15,42
2026-07-05 18:29:54,0,549,23552,23004,13,42
2026-07-05 18:29:59,0,549,23552,23004,13,42
2026-07-05 18:30:04,0,549,23552,23004,15,42
2026-07-05 18:30:09,0,549,23552,23004,15,42
2026-07-05 18:30:14,0,549,23552,23004,17,42
2026-07-05 18:30:19,0,549,23552,23004,16,42
2026-07-05 18:30:24,0,549,23552,23004,16,42
2026-07-05 18:30:29,0,549,23552,23004,20,42
2026-07-05 18:30:35,0,549,23552,23004,18,42
2026-07-05 18:30:40,0,549,23552,23004,18,42
2026-07-05 18:30:45,0,549,23552,23004,21,42
2026-07-05 18:30:50,0,549,23552,23004,20,42
2026-07-05 18:30:55,0,549,23552,23004,15,42
2026-07-05 18:31:00,0,549,23552,23004,15,42
2026-07-05 18:31:05,0,549,23552,23004,17,42
2026-07-05 18:31:10,0,549,23552,23004,13,42
2026-07-05 18:31:15,0,549,23552,23004,17,42
2026-07-05 18:31:20,0,549,23552,23004,19,42
2026-07-05 18:31:25,0,549,23552,23004,15,42
2026-07-05 18:31:30,0,549,23552,23004,13,42
2026-07-05 18:31:35,0,549,23552,23004,15,42
2026-07-05 18:31:40,0,549,23552,23004,16,42
2026-07-05 18:31:45,0,549,23552,23004,18,42
2026-07-05 18:31:51,0,549,23552,23004,20,42
2026-07-05 18:31:56,0,549,23552,23004,18,42
2026-07-05 18:32:01,0,549,23552,23004,19,42
2026-07-05 18:32:06,0,549,23552,23004,19,42
2026-07-05 18:32:11,0,549,23552,23004,17,42
2026-07-05 18:32:16,0,549,23552,23004,19,41
2026-07-05 18:32:21,0,549,23552,23004,13,41
2026-07-05 18:32:26,0,549,23552,23004,13,41
2026-07-05 18:32:31,0,549,23552,23004,13,41
2026-07-05 18:32:36,0,549,23552,23004,12,41
2026-07-05 18:32:41,0,551,23552,23002,14,41
2026-07-05 18:32:46,0,551,23552,23002,14,41
2026-07-05 18:32:51,0,551,23552,23002,12,41
2026-07-05 18:32:56,0,551,23552,23002,12,41
